Symbol,Cena,RSI,ADX,Debit,Cushion %,Lev,Rec Months,Max Profit,BE %,Extrinsic %,IV %,Yield %,OI,Liq,Status,LEAPS,Short
GNW,8.90,56,—,2.02,4.0%,0.23,2.4,$98,+1.3%,9.3%,21.6%,41.3%,0,⚠️,✅ VALIDNÉ,LONG 7.0 Call (Δ 0.90) | 20260618 (125d),SHORT 10.0 Call (Δ 0.15) | 20260320 (35d)
MDGL,473.11,46,—,133.55,10.6%,0.28,2.4,$4645,+4.3%,23.4%,39.1%,113.7%,0,⚠️,✅ VALIDNÉ,LONG 360.0 Call (Δ 0.81) | 20260717 (153d),SHORT 540.0 Call (Δ 0.27) | 20260320 (34d)
SYF,71.27,34,—,31.79,3.2%,0.45,4.0,$321,+4.2%,12.3%,33.3%,34.4%,0,⚠️,🔥 BUY ZONE,LONG 42.5 Call (Δ 0.89) | 20280121 (706d),SHORT 77.5 Call (Δ 0.25) | 20260320 (34d)
BP,37.10,43,—,11.69,5.6%,0.32,0.4,$181,-1.1%,2.0%,31.9%,158.5%,0,⚠️,✅ VALIDNÉ,LONG 25.0 Call (Δ 0.93) | 20280121 (706d),SHORT 38.5 Call (Δ 0.23) | 20260227 (13d)
PPC,40.91,29,—,12.13,7.3%,0.30,3.5,$77,+5.4%,23.8%,27.5%,75.7%,0,⚠️,🔥 BUY ZONE,LONG 31.0 Call (Δ 0.91) | 20260618 (125d),SHORT 43.9 Call (Δ 0.29) | 20260320 (35d)
FR,58.95,50,—,14.85,0.9%,0.25,7.4 ⚠️,$515,+1.5%,6.9%,17.7%,10.1%,0,⚠️,✅ VALIDNÉ,LONG 45.0 Call (Δ 0.89) | 20260618 (124d),SHORT 65.0 Call (Δ 0.10) | 20260320 (34d)
MLTX,15.74,51,—,8.32,10.2%,0.53,4.0,$168,+16.4%,37.4%,94.3%,109.7%,0,⚠️,✅ VALIDNÉ,LONG 10.0 Call (Δ 0.84) | 20270115 (335d),SHORT 20.0 Call (Δ 0.27) | 20260320 (34d)
VERA,42.75,45,—,17.16,19.4%,0.40,3.8,$784,+22.0%,62.2%,64.6%,208.3%,0,⚠️,✅ VALIDNÉ,LONG 35.0 Call (Δ 0.78) | 20280121 (706d),SHORT 60.0 Call (Δ 0.26) | 20260320 (34d)
ALKS,33.67,45,—,12.99,6.5%,0.39,2.6,$401,+3.9%,15.7%,31.4%,70.2%,0,⚠️,✅ VALIDNÉ,LONG 22.0 Call (Δ 0.86) | 20260821 (188d),SHORT 39.0 Call (Δ 0.27) | 20260320 (34d)
SOLV,77.24,44,—,13.34,12.0%,0.17,1.7,$666,+1.4%,18.1%,30.6%,128.8%,0,⚠️,✅ VALIDNÉ,LONG 65.0 Call (Δ 0.83) | 20260717 (153d),SHORT 85.0 Call (Δ 0.22) | 20260320 (34d)
XEL,81.68,76,—,27.23,2.7%,0.33,1.8,$277,+0.7%,4.6%,18.2%,28.8%,0,⚠️,🚫 VYSOKÉ RIZIKO,LONG 55.0 Call (Δ 0.92) | 20261218 (307d),SHORT 85.0 Call (Δ 0.27) | 20260320 (34d)
BMRN,59.80,60,—,24.61,8.2%,0.41,0.9,$789,-0.3%,6.9%,42.6%,48.3%,0,⚠️,✅ VALIDNÉ,LONG 35.0 Call (Δ 0.95) | 20270115 (335d),SHORT 67.5 Call (Δ 0.29) | 20260417 (62d)
GEF,76.32,64,—,17.79,2.5%,0.23,4.3,$721,+1.9%,10.5%,24.1%,27.2%,0,⚠️,✅ VALIDNÉ,LONG 60.0 Call (Δ 0.86) | 20260717 (153d),SHORT 85.0 Call (Δ 0.12) | 20260320 (34d)
KRYS,277.71,58,—,122.09,5.9%,0.44,0.9,$3291,-0.2%,5.1%,34.3%,63.3%,0,⚠️,✅ VALIDNÉ,LONG 155.0 Call (Δ 0.95) | 20260821 (188d),SHORT 310.0 Call (Δ 0.29) | 20260320 (34d)
HHH,82.93,53,—,23.58,3.3%,0.28,1.8,$642,+0.8%,5.8%,27.7%,35.1%,0,⚠️,✅ VALIDNÉ,LONG 60.0 Call (Δ 0.95) | 20260717 (153d),SHORT 90.0 Call (Δ 0.24) | 20260320 (34d)
PUK,29.77,18,—,16.59,9.4%,0.56,2.2,$841,+6.1%,18.6%,26.6%,98.1%,0,⚠️,🔥 BUY ZONE,LONG 15.0 Call (Δ 0.93) | 20260821 (189d),SHORT 40.0 Call (Δ 0.18) | 20260320 (35d)
UBS,42.11,26,—,7.57,7.0%,0.18,1.9,$243,+1.1%,12.2%,28.8%,73.0%,0,⚠️,🔥 BUY ZONE,LONG 35.0 Call (Δ 0.84) | 20260821 (189d),SHORT 45.0 Call (Δ 0.25) | 20260320 (35d)
KYMR,85.05,70,—,36.67,6.8%,0.43,1.6,$1333,+1.9%,10.5%,84.1%,73.2%,0,⚠️,⚠️ OVERBOUGHT,LONG 50.0 Call (Δ 0.90) | 20260821 (188d),SHORT 100.0 Call (Δ 0.24) | 20260320 (34d)
BCRX,6.86,63,—,3.96,5.1%,0.58,6.5 ⚠️,$4,+16.0%,31.2%,43.5%,54.2%,0,⚠️,✅ VALIDNÉ,LONG 4.0 Call (Δ 0.86) | 20260918 (216d),SHORT 8.0 Call (Δ 0.28) | 20260320 (34d)
EXEL,42.45,46,—,9.00,8.6%,0.21,3.0,$200,+3.7%,23.7%,32.2%,89.2%,0,⚠️,✅ VALIDNÉ,LONG 35.0 Call (Δ 0.81) | 20260821 (189d),SHORT 46.0 Call (Δ 0.27) | 20260320 (35d)
SR,91.44,76,—,27.45,1.4%,0.30,3.6,$255,+1.1%,5.0%,16.1%,15.3%,0,⚠️,🚫 VYSOKÉ RIZIKO,LONG 65.0 Call (Δ 0.91) | 20260918 (216d),SHORT 95.0 Call (Δ 0.26) | 20260320 (34d)
ES,73.57,70,—,15.58,3.9%,0.21,-4.0,$942,-4.1%,-14.8%,34.5%,22.7%,0,⚠️,⚠️ OVERBOUGHT,LONG 55.0 Call (Δ 0.95) | 20260717 (153d),SHORT 80.0 Call (Δ 0.19) | 20260417 (62d)
GPCR,73.05,33,—,33.44,5.4%,0.46,12.3 ⚠️,$156,+27.9%,63.0%,159.7%,57.8%,0,⚠️,🔥 BUY ZONE,LONG 60.0 Call (Δ 0.78) | 20280121 (706d),SHORT 95.0 Call (Δ 0.22) | 20260320 (34d)
BYD,82.40,42,—,27.92,1.7%,0.34,12.5 ⚠️,$208,+6.7%,21.1%,21.5%,18.5%,0,⚠️,✅ VALIDNÉ,LONG 60.0 Call (Δ 0.85) | 20271217 (671d),SHORT 90.0 Call (Δ 0.14) | 20260320 (34d)
LBTYA,11.15,41,—,4.15,4.1%,0.37,3.9,$335,+4.5%,15.5%,26.0%,23.7%,0,⚠️,✅ VALIDNÉ,LONG 7.5 Call (Δ 0.87) | 20260717 (154d),SHORT 15.0 Call (Δ 0.11) | 20260417 (63d)
CWAN,23.38,40,—,1.93,105.7%,0.08,0.3,$1007,-6.2%,14.9%,26.9%,918.6%,0,⚠️,✅ VALIDNÉ,LONG 20.0 Call (Δ 0.86) | 20260618 (125d),SHORT 32.0 Call (Δ 0.23) | 20260327 (42d)
FIBK,36.96,38,—,18.31,3.9%,0.50,2.9,$169,+3.7%,10.9%,27.7%,41.0%,0,⚠️,🔥 BUY ZONE,LONG 20.0 Call (Δ 0.93) | 20260618 (125d),SHORT 40.0 Call (Δ 0.30) | 20260320 (35d)
HBAN,17.35,41,—,3.47,8.6%,0.20,1.4,$153,+0.7%,11.1%,29.2%,50.1%,0,⚠️,✅ VALIDNÉ,LONG 14.0 Call (Δ 0.86) | 20260717 (154d),SHORT 19.0 Call (Δ 0.25) | 20260417 (63d)
ASND,218.31,47,—,59.15,8.3%,0.27,4.2,$585,+7.3%,32.4%,40.3%,88.9%,0,⚠️,✅ VALIDNÉ,LONG 175.0 Call (Δ 0.79) | 20270115 (335d),SHORT 240.0 Call (Δ 0.28) | 20260320 (34d)
COO,84.08,65,—,25.37,4.8%,0.30,2.0,$963,+1.5%,9.5%,27.4%,52.0%,0,⚠️,✅ VALIDNÉ,LONG 60.0 Call (Δ 0.90) | 20260821 (188d),SHORT 95.0 Call (Δ 0.20) | 20260320 (34d)
OPCH,34.26,53,—,8.40,5.1%,0.25,4.8,$410,+4.8%,23.4%,31.9%,53.4%,0,⚠️,✅ VALIDNÉ,LONG 27.5 Call (Δ 0.90) | 20260717 (154d),SHORT 40.0 Call (Δ 0.20) | 20260320 (35d)
APLS,22.28,47,—,7.70,9.4%,0.35,1.6,$330,+1.9%,13.5%,58.8%,100.4%,0,⚠️,✅ VALIDNÉ,LONG 15.0 Call (Δ 0.87) | 20260717 (153d),SHORT 26.0 Call (Δ 0.30) | 20260320 (34d)
MNST,81.96,56,—,28.76,3.0%,0.35,9.0 ⚠️,$124,+8.3%,25.8%,17.3%,31.7%,0,⚠️,✅ VALIDNÉ,LONG 60.0 Call (Δ 0.85) | 20280121 (706d),SHORT 90.0 Call (Δ 0.20) | 20260320 (34d)
SKT,33.51,49,—,8.89,4.7%,0.27,1.9,$211,+1.1%,8.6%,17.6%,49.3%,0,⚠️,✅ VALIDNÉ,LONG 25.0 Call (Δ 0.93) | 20260618 (125d),SHORT 36.0 Call (Δ 0.23) | 20260320 (35d)
ORKA,33.04,50,—,12.48,20.0%,0.38,1.8,$502,+5.9%,29.6%,61.4%,215.0%,0,⚠️,✅ VALIDNÉ,LONG 22.5 Call (Δ 0.82) | 20260821 (188d),SHORT 40.0 Call (Δ 0.18) | 20260320 (34d)
CQP,59.45,64,—,13.67,1.6%,0.23,-2.5,$633,-1.3%,-4.0%,20.4%,17.3%,0,⚠️,✅ VALIDNÉ,LONG 45.0 Call (Δ 0.93) | 20260618 (124d),SHORT 65.0 Call (Δ 0.15) | 20260320 (34d)
SEPN,26.33,58,—,9.74,9.5%,0.37,1.4,$426,+1.6%,12.6%,60.5%,102.5%,0,⚠️,✅ VALIDNÉ,LONG 17.0 Call (Δ 0.88) | 20260717 (153d),SHORT 31.0 Call (Δ 0.27) | 20260320 (34d)
MNKD,5.72,47,—,2.90,4.8%,0.51,2.3,$110,+3.1%,10.5%,42.9%,135.5%,0,⚠️,✅ VALIDNÉ,LONG 3.0 Call (Δ 0.91) | 20270115 (335d),SHORT 7.0 Call (Δ 0.22) | 20260227 (13d)
STC,69.59,47,—,19.44,9.4%,0.28,0.9,$1056,-0.2%,7.9%,26.7%,101.1%,0,⚠️,✅ VALIDNÉ,LONG 50.0 Call (Δ 0.88) | 20260821 (188d),SHORT 80.0 Call (Δ 0.22) | 20260320 (34d)
GM,81.40,47,—,22.82,2.1%,0.28,9.0 ⚠️,$68,+4.8%,18.9%,32.5%,60.3%,0,⚠️,✅ VALIDNÉ,LONG 62.5 Call (Δ 0.84) | 20261218 (307d),SHORT 86.0 Call (Δ 0.20) | 20260227 (13d)
ARGX,849.09,58,—,172.45,9.4%,0.20,1.8,$6755,+1.6%,15.7%,24.8%,100.8%,0,⚠️,✅ VALIDNÉ,LONG 690.0 Call (Δ 0.84) | 20260618 (124d),SHORT 930.0 Call (Δ 0.25) | 20260320 (34d)
