EntryTime,Symbol,Timeframe,EntryPrice,RSI,PercentB,SignalType,ExitPrice,FinalPL
2026-02-03T17:38:56.952990,CHKP,4 hours,174.88,39.13,8.4,🚀 STRONG BUY,,
2026-02-03T17:39:57.303678,HAE,4 hours,65.37,30.19,23.0,🚀 STRONG BUY,,
2026-02-03T17:40:03.073055,IT,4 hours,154.29,12.42,-12.2,🚀 STRONG BUY,,
2026-02-03T17:41:04.402714,NTAP,4 hours,96.02,36.98,8.8,🚀 STRONG BUY,,
2026-02-03T17:41:23.483947,OTEX,4 hours,23.41,10.67,5.6,🚀 STRONG BUY,,
2026-02-03T17:42:03.880127,TDG,4 hours,1293.40,22.36,-19.5,🚀 STRONG BUY,,
2026-02-03T17:50:05.268840,CHKP,4 hours,174.88,39.13,8.4,🚀 STRONG BUY,,
2026-02-03T17:50:23.074349,HAE,4 hours,65.37,30.19,23.0,🚀 STRONG BUY,,
2026-02-03T17:50:24.878206,IT,4 hours,154.29,12.42,-12.2,🚀 STRONG BUY,,
2026-02-03T17:50:51.955117,NTAP,4 hours,96.02,36.98,8.8,🚀 STRONG BUY,,
2026-02-03T17:51:02.048486,OTEX,4 hours,23.41,10.67,5.6,🚀 STRONG BUY,,
2026-02-03T17:51:18.128345,TDG,4 hours,1293.40,22.36,-19.5,🚀 STRONG BUY,,
2026-02-03T17:56:59.691382,CHKP,4 hours,174.88,39.13,8.4,🚀 STRONG BUY,,
2026-02-03T17:57:57.829765,HAE,4 hours,65.37,30.19,23.0,🚀 STRONG BUY,,
2026-02-03T17:58:03.493995,IT,4 hours,154.29,12.42,-12.2,🚀 STRONG BUY,,
2026-02-03T17:59:05.180541,NTAP,4 hours,96.02,36.98,8.8,🚀 STRONG BUY,,
2026-02-03T17:59:29.589213,OTEX,4 hours,23.41,10.67,5.6,🚀 STRONG BUY,,
2026-02-03T17:59:59.629755,TDG,4 hours,1293.40,22.36,-19.5,🚀 STRONG BUY,,
2026-02-13T18:36:12.600822,BANR,4 hours,64.25,50.92,38.9,Trend Breakout,,,hold,Býk,0,0,0,+0.11,Trend Breakout
2026-02-13T18:41:55.416201,BANR,4 hours,64.25,50.92,38.9,Trend Breakout,,,hold,Býk,0,0,0,+0.11,Trend Breakout
